512, 2986.378
1024, 2932.569
4096, 109.823
8192, 110.213
16384, 111.230
32768, 111.211
1048576, 111.022
2097152, 109.252
4194304, 110.363
512, 2806.165
1024, 2932.569
4096, 111.003
8192, 109.971
16384, 110.814
32768, 110.083
1048576, 105.721
2097152, 105.260
4194304, 105.601
512, 2553.060
1024, 2830.567
4096, 3042.198
8192, 2842.927
16384, 3000.140
32768, 2972.741
1048576, 3321.583
2097152, 3255.152
4194304, 2945.839
512, 59.749
1024, 2503.963
4096, 869.199
8192, 1482.985
16384, 314.356
32768, 2086.635
1048576, 2260.522
2097152, 3538.208
4194304, 3070.898
